country,year,co2,co2_per_capita,co2_5yr_rolling_mean,co2_lag1,co2_lag2,co2_lag3,co2_yoy_pct_change,ghg_intensity
Australia,1750,0.0,0.0,,,,,,
Australia,1751,0.0,,,0.0,,,,
Australia,1752,0.0,,,0.0,0.0,,,
Australia,1753,0.0,,,0.0,0.0,0.0,,
Australia,1754,0.0,,0.0,0.0,0.0,0.0,,
Australia,1755,0.0,,0.0,0.0,0.0,0.0,,
Australia,1756,0.0,,0.0,0.0,0.0,0.0,,
Australia,1757,0.0,,0.0,0.0,0.0,0.0,,
Australia,1758,0.0,,0.0,0.0,0.0,0.0,,
Australia,1759,0.0,,0.0,0.0,0.0,0.0,,
Australia,1760,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1761,0.0,,0.0,0.0,0.0,0.0,,
Australia,1762,0.0,,0.0,0.0,0.0,0.0,,
Australia,1763,0.0,,0.0,0.0,0.0,0.0,,
Australia,1764,0.0,,0.0,0.0,0.0,0.0,,
Australia,1765,0.0,,0.0,0.0,0.0,0.0,,
Australia,1766,0.0,,0.0,0.0,0.0,0.0,,
Australia,1767,0.0,,0.0,0.0,0.0,0.0,,
Australia,1768,0.0,,0.0,0.0,0.0,0.0,,
Australia,1769,0.0,,0.0,0.0,0.0,0.0,,
Australia,1770,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1771,0.0,,0.0,0.0,0.0,0.0,,
Australia,1772,0.0,,0.0,0.0,0.0,0.0,,
Australia,1773,0.0,,0.0,0.0,0.0,0.0,,
Australia,1774,0.0,,0.0,0.0,0.0,0.0,,
Australia,1775,0.0,,0.0,0.0,0.0,0.0,,
Australia,1776,0.0,,0.0,0.0,0.0,0.0,,
Australia,1777,0.0,,0.0,0.0,0.0,0.0,,
Australia,1778,0.0,,0.0,0.0,0.0,0.0,,
Australia,1779,0.0,,0.0,0.0,0.0,0.0,,
Australia,1780,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1781,0.0,,0.0,0.0,0.0,0.0,,
Australia,1782,0.0,,0.0,0.0,0.0,0.0,,
Australia,1783,0.0,,0.0,0.0,0.0,0.0,,
Australia,1784,0.0,,0.0,0.0,0.0,0.0,,
Australia,1785,0.0,,0.0,0.0,0.0,0.0,,
Australia,1786,0.0,,0.0,0.0,0.0,0.0,,
Australia,1787,0.0,,0.0,0.0,0.0,0.0,,
Australia,1788,0.0,,0.0,0.0,0.0,0.0,,
Australia,1789,0.0,,0.0,0.0,0.0,0.0,,
Australia,1790,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1791,0.0,,0.0,0.0,0.0,0.0,,
Australia,1792,0.0,,0.0,0.0,0.0,0.0,,
Australia,1793,0.0,,0.0,0.0,0.0,0.0,,
Australia,1794,0.0,,0.0,0.0,0.0,0.0,,
Australia,1795,0.0,,0.0,0.0,0.0,0.0,,
Australia,1796,0.0,,0.0,0.0,0.0,0.0,,
Australia,1797,0.0,,0.0,0.0,0.0,0.0,,
Australia,1798,0.0,,0.0,0.0,0.0,0.0,,
Australia,1799,0.0,,0.0,0.0,0.0,0.0,,
Australia,1800,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1801,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1802,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1803,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1804,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,1805,0.0002359999925829,0.001038015121594,4.719999851658e-05,0.0,0.0,0.0,inf,
Australia,1806,0.0006610000273212,0.0028337112162262,0.00017940000398081998,0.0002359999925829,0.0,0.0,180.08476614210477,
Australia,1807,0.0006290000164881,0.0026282691396772,0.00030520000727844,0.0006610000273212,0.0002359999925829,0.0,-4.84115121186679,
Australia,1808,0.0007869999972172,0.0032052195165306,0.00046260000672187997,0.0006290000164881,0.0006610000273212,0.0002359999925829,25.11923316175131,
Australia,1809,0.0012590000405907,0.0049977372400462,0.00071440001484002,0.0007869999972172,0.0006290000164881,0.0006610000273212,59.97459276270305,
Australia,1810,0.0012590000405907,0.0048680147156119,0.0009190000244415801,0.0012590000405907,0.0007869999972172,0.0006290000164881,0.0,
Australia,1811,0.0022030000109225,0.008302429690957,0.00122740002116184,0.0012590000405907,0.0012590000405907,0.0007869999972172,74.98013819673051,
Australia,1812,0.0022030000109225,0.0080922432243824,0.0015422000200487201,0.0022030000109225,0.0012590000405907,0.0012590000405907,0.0,
Australia,1813,0.0028319999109953,0.0101393805816769,0.0019512000028043398,0.0022030000109225,0.0022030000109225,0.0012590000405907,28.551969902596962,
Australia,1814,0.0034509999677538,0.012042811140418,0.0023895999882369598,0.0028319999109953,0.0022030000109225,0.0022030000109225,21.857347323890064,
Australia,1815,0.0027530000079423,0.0093638179823756,0.00268839998170728,0.0034509999677538,0.0028319999109953,0.0022030000109225,-20.226020467505744,
Australia,1816,0.0022809999063611,0.0075619942508637,0.002703999960795,0.0027530000079423,0.0034509999677538,0.0028319999109953,-17.144936440955227,
Australia,1817,0.0020449999719858,0.0066079865209758,0.00267239995300766,0.0022809999063611,0.0027530000079423,0.0034509999677538,-10.346336872577645,
Australia,1818,0.0018879999406635,0.0059462320059537,0.0024835999589413,0.0020449999719858,0.0022809999063611,0.0027530000079423,-7.6772632505146206,
Australia,1819,0.0035399999469518,0.0109278485178947,0.0025013999547809002,0.0018879999406635,0.0020449999719858,0.0022809999063611,87.50000308303703,
Australia,1820,0.0061599998734891,0.0187388975173234,0.00318279992789026,0.0035399999469518,0.0018879999406635,0.0020449999719858,74.01129846889722,
Australia,1821,0.0031469999812543,0.0094838580116629,0.0033559999428689003,0.0061599998734891,0.0035399999469518,0.0018879999406635,-48.912336917438914,
Australia,1822,0.0039340001530945,0.0118068298324942,0.00373379997909064,0.0031469999812543,0.0061599998734891,0.0035399999469518,25.007949683130427,
Australia,1823,0.0047200000844895,0.0141829056665301,0.00430020000785584,0.0039340001530945,0.0031469999812543,0.0061599998734891,19.979661942227665,
Australia,1824,0.0047200000844895,0.0141999730840325,0.00453620003536338,0.0047200000844895,0.0039340001530945,0.0031469999812543,0.0,
Australia,1825,0.0028699999675154,0.0086447345092892,0.00387820005416864,0.0047200000844895,0.0047200000844895,0.0039340001530945,-39.19491703090065,
Australia,1826,0.0063599999994039,0.0191800240427255,0.00452080005779856,0.0028699999675154,0.0047200000844895,0.0047200000844895,121.60278994392613,
